Field1,Field2
JW,"The public loves this campaign, and so do I."
.,Whenever a PR release starts ‘back by popular demand’ you know it really means ‘we had a great idea a number of years ago and now the client will not let us try anything new’.
DC,"Love this.
Tayla Harris shot at the end is gold."
Bluebagger,Brilliant
