Field1,Field2
Mike,"You know, for the brief and the budget – that’s a pretty nice result."
Jen,funny. phew!
gjc,good retail.
gangbang,That’s a lot of agencies for such a simple promotional idea.
Bob,"Great spot. Funny, well directed, simple and Memorable. Job done."
okorie chukwudalu,plz i have dis cocacola coke. How can i win it?
Slactivations,This is a rare fun in-store piece. If only all clients had Coke money.
