Field1,Field2
Swans Fan,I bloody love this. Well done to all involved.
What?,"That’s not how google works.
People didn’t use those search terms."
TIPUNGWUUUUUTI!,All the feels. More of this please.
So good!,@what – that is precisely how Google works you muppet.
JW,This is a nice spot. 
Powerful,Less is more. And this does heaps for me.
erm,"So basically just a football-themed localisation of this: https://www.youtube.com/watch?v=6aFdEhEZQjE
And a poor one too. Why all the credits?"
NRL,It made me feel good and that’s all that counts. And I don’t even like the AFL.
