Field1,Field2
-,This looks beautiful!
Werkin' Gal,This shots are amazing! I always thought Farage was for an older demographic but this is stylish for the office day then night out – will definitely pop my head inside next time I see a store.
bgrade,Actually looks very tacky.
Spell Check,Hey bgrade – you spelt terrific wrong.
Bespoke Blog,Not sure how anyone could find these tacky?  Really clean stylish look particularly the meanswear.
