Field1,Field2
Awesome,This movie looks amazing. Great ads for it. Nice work.
Good one,"Great work, some striong Aussie talent involved"
Abs,"Love this!!
Movie looks bloody funny. A return to Australian cinema we’ve been waiting over a decade for. Nice one!! "
Dan O,Can’t get enough of these.  So good.
Filet Mignon,Posters look amazing! Great work Hal
What the Hogg,"Is Michael Hogg a creative or a planner? Surely you can’t be both? Is he really really good looking as well, with massive guns?"
