Field1,Field2
Skeptical,Creative is nice – but not sure what about it makes this “tech driven”
THE SAME IDEA DONE THREE TIMES,"..isn’t a campaign, sadly.
And what’s with the Fifties decor in the featured homes??
Pure Fart Direction for mine."
